,annee,code,nom,conso,dept
605319,2019,54518,thiaucourt-regniéville,6.671,54
605320,2019,27629,thiberville,6.058,27
605564,2019,50601,torigny-les-villes,5.518,50
606372,2019,61497,valframbert,6.651,61
606676,2019,57696,varsberg,5.022,57
606760,2019,03301,vaux,6.172,3
606780,2019,84142,velleron,7.585,84
606945,2019,10406,verrières,7.607,10
606955,2019,74296,vers,6.918,74
607173,2019,41167,veuzain-sur-loire,5.563,41
607231,2019,40326,vielle-saint-girons,4.605,40
607293,2019,44217,vigneux-de-bretagne,8.098,44
607331,2019,95660,villaines-sous-bois,7.147,95
607332,2019,38550,villard-reculas,5.245,38
607365,2019,51624,ville-en-tardenois,7.709,51
607435,2019,71027,beaurepaire-en-bresse,4.639,71
607542,2019,31057,belberaud,6.623,31
607610,2019,30034,bellegarde,6.523,30
607611,2019,45031,bellegarde,6.108,45
607640,2019,62471,bellinghem,6.989,62
607960,2019,69021,bessenay,6.317,69
607969,2019,54066,bettainvillers,7.694,54
608029,2019,30039,bezouce,6.69,30
608191,2019,21080,blaisy-bas,5.87,21
608192,2019,76101,blangy-sur-bresle,4.264,76
608205,2019,06019,blausasc,7.594,6
608206,2019,68041,blodelsheim,6.07,68
608424,2019,77038,boissettes,8.689,77
608425,2019,77040,boissise-le-roi,5.909,77
609497,2019,60539,rieux,6.1,60
609498,2019,12199,rignac,5.045,12
609548,2019,52423,rimaucourt,5.225,52
609639,2019,17297,rivedoux-plage,7.039,17
609759,2019,78522,rochefort-en-yvelines,8.923,78
609761,2019,07191,rochemaure,7.865,7
609817,2019,13082,rognes,9.553,13
609973,2019,47225,roquefort,6.556,47
610358,2019,25505,rougemont,4.767,25
610361,2019,16286,rouillac,5.923,16
610368,2019,62724,rouvroy,3.66,62
610400,2019,38347,roybon,5.299,38
610565,2019,39471,ruffey-sur-seille,4.536,39
610566,2019,62727,ruitz,5.543,62
610567,2019,68291,rumersheim-le-haut,6.402,68
610607,2019,57604,rustroff,5.698,57
610608,2019,59486,râches,5.432,59
610609,2019,82149,réalville,6.522,82
610610,2019,29234,rédené,6.502,29
610613,2019,61345,rémalard en perche,5.51,61
610624,2019,02668,sains-richaumont,5.286,2
610690,2019,77400,saint-augustin,7.736,77
610811,2019,01337,saint-bénigne,6.705,1
610879,2019,12215,saint-christophe-vallon,4.743,12
611024,2019,46251,saint-céré,4.633,46
611327,2019,85215,saint-fulgent,5.438,85
611336,2019,87143,saint-gence,6.961,87
611389,2019,38388,saint-georges-de-commiers,6.386,38
611456,2019,87146,saint-germain-les-belles,4.916,87
611665,2019,22302,saint-jacut-de-la-mer,4.806,22
611685,2019,66178,saint-jean-pla-de-corts,6.006,66
611817,2019,50496,saint-jean-le-thomas,4.533,50
611828,2019,85236,saint-julien-des-landes,6.261,85
611885,2019,74244,saint-laurent,6.606,74
611962,2019,14609,saint-loup-hors,7.949,14
611967,2019,44175,saint-lyphard,7.103,44
611970,2019,10349,saint-lyé,7.139,10
612078,2019,77419,saint-mammès,6.013,77
612158,2019,44179,saint-mars-du-désert,6.948,44
612266,2019,71456,saint-martin-en-bresse,6.394,71
612268,2019,78567,saint-martin-la-garenne,7.218,78
613336,2019,66214,tresserre,5.827,66
613348,2019,77474,trilbardou,6.973,77
613352,2019,57680,troisfontaines,5.747,57
613512,2019,28394,tréon,5.84,28
613536,2019,76716,turretot,7.862,76
613556,2019,88481,uriménil,5.331,88
613583,2019,49183,val d'erdre-auxence,6.925,49
613584,2019,69024,val d'oingt,6.548,69
613592,2019,61484,val-au-perche,5.664,61
613601,2019,51571,val-de-vesle,7.783,51
613638,2018,68011,aspach-le-bas,6.871,68
613718,2018,30019,aubais,7.853,30
613756,2018,59025,aubers,7.311,59
613892,2018,54028,auboue,3.719,54
613940,2018,39026,augerans,5.488,39
614158,2018,31036,auzielle,7.474,31
614175,2018,59037,avesnes-les-aubert,5.049,59
614320,2018,08040,ayvelles,4.621,8
614321,2018,37014,azay-le-rideau,6.969,37
614497,2018,66012,baho,6.271,66
614612,2018,85011,barbatre,3.797,85
614620,2018,77022,barbizon,8.106,77
614673,2018,38029,batie-montgascon,6.66,38
614677,2018,56010,baud,5.145,56
614678,2018,64101,baudreix,5.561,64
614755,2018,59053,bavay,4.429,59
614835,2018,65072,bazet,5.612,65
614874,2018,27051,beaumont-le-roger,5.047,27
614885,2018,72029,beaumont-sur-sarthe,5.351,72
614893,2019,60180,crillon,6.532,60
614896,2019,71154,crissey,5.926,71
614897,2019,59162,crochte,7.31,59
614944,2019,05045,crots,5.27,5
615158,2019,74097,cusy,7.188,74
615170,2019,51204,damery,7.025,51
615208,2019,39189,damparis,4.43,39
615210,2019,45122,dampierre-en-burly,8.563,45
615277,2019,44051,derval,5.853,44
615305,2019,25200,devecey,5.321,25
615728,2019,74101,dingy-en-vuache,7.556,74
615867,2019,35101,dourdain,6.936,35
616026,2019,50168,ducey-les chéris,5.493,50
616547,2019,42327,vérin,6.985,42
616565,2019,27683,vézillon,6.811,27
616577,2019,60700,warluis,6.505,60
616598,2019,59647,watten,4.555,59
616657,2019,59659,wignehies,4.359,59
